	1-Dry-Soil	2-Dry-Soil	NEGATIVE	T-1-H218O-A	T-1-H218O-B	T-1-H218O-C	T-1-H218O-P-A	T-1-H218O-P-B	T-1-H218O-P-C	T-1-H2O-A	T-1-H2O-B	T-1-H2O-C	T-1-H2O-P-A	T-1-H2O-P-B	T-1-H2O-P-C	T-2-H218O-A	T-2-H218O-B	T-2-H218O-C	T-2-H218O-P-B	T-2-H218O-P-C	T-2-H2O-A	T-2-H2O-B	T-2-H2O-C	T-2-H2O-P-A	T-2-H2O-P-B	T-2-H2O-P-C	T-3-H218O-B	T-3-H218O-C	T-3-H218O-P-A	T-3-H218O-P-B	T-3-H218O-P-C
8cc4e938472be8b8a2d1cf51df172b20	52.0	0.0	0.0	0.0	74.0	33.0	0.0	44.0	118.0	0.0	0.0	54.0	0.0	32.0	0.0	36.0	0.0	0.0	0.0	64.0	51.0	41.0	0.0	0.0	0.0	0.0	84.0	33.0	0.0	50.0	0.0
dee5593b0747a78d1fc71af28bedc761	0.0	0.0	0.0	0.0	0.0	201.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	227.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	333.0	0.0
e535bd938c30b3ac5e42379c54e2a8fd	0.0	0.0	0.0	0.0	35.0	99.0	0.0	58.0	0.0	0.0	156.0	0.0	0.0	34.0	0.0	75.0	0.0	0.0	0.0	0.0	32.0	112.0	0.0	0.0	58.0	0.0	47.0	0.0	0.0	49.0	0.0
2cc7e559156f8af92322c99a635f032d	0.0	64.0	0.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	157.0	0.0	0.0	57.0	0.0	64.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	179.0	0.0	0.0	0.0	0.0
7b2da805d5b51afe2620064ca4a2e5dd	0.0	125.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	55.0	267.0	0.0	0.0	40.0	0.0
a41d786d80701999e10bb0ca89c6d058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	216.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	191.0	0.0	0.0	325.0	0.0	0.0	0.0	0.0
2a17ec93e0f164d16d66e997c44b502e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	103.0	0.0	0.0	0.0	0.0	0.0	0.0	264.0	92.0	129.0	0.0	0.0	48.0	0.0
32c242847456cc7303108a7a0251d3bc	0.0	0.0	0.0	0.0	137.0	0.0	62.0	206.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	45.0
ba4d3972610b4bd07b1e5eb6fcee2a5b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.0	0.0	0.0	0.0	0.0	0.0	132.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0	103.0	0.0	0.0	0.0	0.0	129.0	0.0	142.0	0.0
c53a8d8c53007a15d35b0178c6ea73cb	0.0	0.0	0.0	0.0	93.0	124.0	0.0	108.0	0.0	0.0	0.0	133.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	123.0	0.0
