asv	1-Dry-Soil	2-Dry-Soil	T-1-H218O-A	T-1-H218O-B	T-1-H218O-C	T-1-H218O-P-A	T-1-H218O-P-B	T-1-H218O-P-C	T-1-H2O-A	T-1-H2O-B	T-1-H2O-C	T-1-H2O-P-A	T-1-H2O-P-B	T-1-H2O-P-C	T-2-H218O-A	T-2-H218O-B	T-2-H218O-C	T-2-H218O-P-B	T-2-H218O-P-C	T-2-H2O-A	T-2-H2O-B	T-2-H2O-C	T-2-H2O-P-A	T-2-H2O-P-B	T-2-H2O-P-C	T-3-H218O-B	T-3-H218O-C	T-3-H218O-P-A	T-3-H218O-P-B	T-3-H218O-P-C
308e58ba71809279a68eec5dc1d7a193	13.0	0.0	2.0	0.0	0.0	0.0	7.0	3.0	0.0	10.0	13.0	4.0	0.0	0.0	0.0	6.0	0.0	9.0	3.0	0.0	0.0	13.0	7.0	5.0	0.0	0.0	0.0	0.0	4.0	0.0
902415862d334eb53d6b928ed7af3792	0.0	16.0	0.0	0.0	12.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	7.0	0.0	22.0	0.0	0.0
aea6927b3058c20b86bb86227e00009c	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0
0a8667cd493ca300e1450a299e9a92df	0.0	0.0	11.0	0.0	12.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	9.0	14.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	10.0
b9359b5d25b888280f8f56001350d077	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	19.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
4e10fb1074b8760e504d650f7a4ef8ee	96.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a3286e1e85177674c7c1a89fc57ad474	12.0	5.0	0.0	6.0	0.0	0.0	0.0	5.0	27.0	5.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	9.0	0.0	6.0	0.0	4.0	0.0	0.0	0.0
2fec5329f5420789e9fe9fa05a0d6d66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0
eca45a84da2f713b8ba9c1e1a621c244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	8.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eef017bef6bd44bb3e5de9553e08058d	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	5.0	19.0
