asv	superkingdom	phylum	class	order	family	genus	species
d0d9c9e2a8595ccab2ceaa7dac1720b2	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria pisana
d0dbd79c0c302b97d8bf9d857b837931	Eukaryota	Ascomycota	Lecanoromycetes	Pertusariales	Megasporaceae	Circinaria	Circinaria rostamii
d13b154313182ad32cdbb9b0bc13e52b	Eukaryota	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Retiarius	Retiarius revayae
d1603863c1ef3ff3fc3b4e642b79eb61	Eukaryota	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Lunasporangiospora	Lunasporangiospora chienii
d17974dc59328f1f050f6962a3c8d664	Eukaryota	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	Solicoccozyma terricola
d1c6bdba966d0197fcc99900ba0796d2	Eukaryota	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Ditangium	Ditangium altaicum
d1d9bc058d5159a25519ad3969068dd2	Eukaryota	Chytridiomycota	Chytridiomycetes	Rhizophlyctidales	Sonoraphlyctidaceae	Sonoraphlyctis	Sonoraphlyctis ranzonii
d215fad9827700cb25c081006dcf3298	Eukaryota	Mucoromycota	Glomeromycetes	Diversisporales	Acaulosporaceae	Acaulospora	Acaulospora laevis
d290e9ddf0e58e18e8d8683c7835fba2	Eukaryota	Ascomycota	Dothideomycetes	NA	NA	Morenoina	Morenoina calamicola
d2ea8bc1f8adb64a2d798d14780f3801	Eukaryota	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	Spizellomyces acuminatus
d36ea9f3429fac74bf393efd81b78f95	Eukaryota	Streptophyta	Bryopsida	Grimmiales	Seligeriaceae	Seligeria	Seligeria acutifolia
d4944330e6d7b6d8ccd3f4bb2018293f	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Neosorocybe	Neosorocybe pini
d5069fb2b2adeaf7388f6808635fc8ea	Eukaryota	Chytridiomycota	Chytridiomycetes	Spizellomycetales	Spizellomycetaceae	Triparticalcar	Triparticalcar equi
d5ae7596d23c3c200736d543c403c46f	Eukaryota	Mucoromycota	Glomeromycetes	Glomerales	Glomeraceae	Rhizophagus	Rhizophagus prolifer
